id,date,type,category,amount,payment_method,recurring
31,2020-04-13,Expense,Rent/Mortgage,4844.162926,Bank Transfer,0
32,2020-11-23,Expense,Shopping,3596.39596,Bank Transfer,0
33,2020-10-12,Expense,Rent/Mortgage,2913.190272,Debit Card,0
34,2020-06-30,Income,Insurance,3970.743196164,Cash,0
35,2020-12-21,Expense,Education,358.890557475,Cash,0
36,2020-07-14,Expense,Dining Out,2635.26,Cash,0
37,2020-02-05,Expense,Internet,683.124,Bank Transfer,0
38,2020-04-07,Expense,Childcare,3221.30485,Bank Transfer,0
39,2020-07-20,Expense,Groceries,4393.4,Other,0
40,2020-09-25,Income,Dining Out,3610.555,Bank Transfer,0
41,2020-04-07,Income,Utilities,1722.6636,Cash,0
42,2020-09-15,Expense,Utilities,4673.8503163801,Bank Transfer,0
43,2020-01-26,Income,Internet,3066.896264,Bank Transfer,0
44,2020-05-23,Income,Groceries,3993.7318496979,Other,1
45,2020-03-15,Income,Entertainment,2533.7,Other,0
46,2020-05-08,Expense,Utilities,3454.7,Debit Card,0
47,2020-10-20,Expense,Subscriptions,1585.82459343657,Cash,0
48,2020-03-22,Expense,Groceries,3986.351484867,Credit Card,0
49,2020-12-27,Expense,Education,4913.4040294,Credit Card,1
50,2020-01-03,Expense,Dining Out,2659.40769,Other,1
51,2020-04-20,Income,Internet,2027.873819,Other,1
52,2020-08-22,Income,Groceries,2230.555276366,Cash,1
53,2020-03-05,Expense,Education,4141.758,Other,0
54,2020-12-18,Expense,Gifts/Donations,1233.17795061,Credit Card,0
55,2020-12-22,Income,Groceries,637.3335,Bank Transfer,0
56,2020-11-10,Income,Transportation,964.0,Debit Card,1
57,2020-05-17,Expense,Dining Out,4920.331,Bank Transfer,0
58,2020-12-09,Income,Dining Out,3065.544,Bank Transfer,1
59,2020-11-10,Income,Healthcare,49.9734599,Cash,1
60,2020-09-28,Income,Subscriptions,2969.22707150289,Bank Transfer,0
61,2020-12-13,Income,Transportation,1691.9287,Other,0
62,2020-05-04,Expense,Shopping,123.48716831,Cash,1
63,2020-08-16,Expense,Entertainment,2202.9406257,Cash,1
64,2020-04-15,Income,Healthcare,3194.916,Other,0
65,2020-03-03,Expense,Debt Repayment,1973.2162419869,Other,0
66,2020-02-10,Income,Entertainment,1327.1228191706,Cash,0
67,2020-09-12,Expense,Groceries,1578.46,Bank Transfer,1
68,2020-03-31,Expense,Transportation,600.8213438,Cash,1
69,2020-04-21,Expense,Debt Repayment,1836.736,Cash,1
70,2020-08-08,Expense,Gifts/Donations,3275.70102792,Credit Card,1
71,2020-07-10,Income,Dining Out,2791.900507,Cash,0
72,2020-05-13,Expense,Travel,4589.9124506,Credit Card,0
73,2020-04-07,Expense,Transportation,4701.1779,Credit Card,0
74,2020-04-02,Income,Healthcare,4140.50316693238,Other,0
75,2020-05-18,Income,Debt Repayment,3527.48,Bank Transfer,1
76,2020-10-27,Income,Childcare,1640.96009,Bank Transfer,1
77,2020-09-17,Income,Travel,2776.9237848467,Cash,0
78,2020-06-11,Expense,Dining Out,3261.7,Cash,0
79,2020-09-14,Expense,Utilities,4098.7,Bank Transfer,0
80,2020-07-13,Expense,Groceries,616.5,Debit Card,0
81,2020-01-29,Expense,Dining Out,740.494,Bank Transfer,1
82,2020-04-18,Expense,Travel,4236.873197,Debit Card,0
83,2020-06-05,Income,Rent/Mortgage,2166.3183514123,Credit Card,1
84,2020-07-28,Expense,Childcare,4055.758581,Debit Card,0
85,2020-02-03,Expense,Dining Out,526.22524,Cash,0
86,2020-11-27,Expense,Entertainment,4277.764617,Credit Card,1
87,2020-11-21,Expense,Childcare,942.6678850968,Bank Transfer,0
88,2020-02-26,Income,Entertainment,184.4541,Debit Card,0
89,2020-11-09,Expense,Education,44.4259,Credit Card,1
90,2020-05-01,Income,Insurance,2165.429742,Cash,0
91,2020-07-07,Income,Insurance,3396.28664208842,Cash,0
92,2020-01-30,Income,Education,4237.67,Debit Card,0
93,2020-03-31,Income,Phone,3762.13456,Other,1
94,2020-05-11,Income,Shopping,3084.568948,Debit Card,1
95,2020-08-05,Expense,Shopping,4583.28255,Debit Card,1
96,2020-08-05,Expense,Entertainment,4850.9632,Bank Transfer,0
97,2020-01-07,Income,Rent/Mortgage,4094.560221,Bank Transfer,0
98,2020-08-26,Income,Debt Repayment,4548.12016835,Credit Card,1
99,2020-11-27,Expense,Transportation,371.28987427,Credit Card,0
100,2020-09-12,Expense,Internet,41.75398538,Cash,0
101,2020-02-29,Income,Education,2862.1,Cash,0
102,2020-10-10,Income,Healthcare,4504.708,Other,0
103,2020-01-15,Income,Insurance,3484.335,Cash,0
104,2020-03-15,Income,Travel,4506.76037546,Bank Transfer,1
105,2020-02-14,Income,Phone,3438.43548672,Bank Transfer,0
106,2020-01-01,Income,Insurance,369.61296698,Cash,1
107,2020-06-20,Expense,Internet,3661.9697479,Credit Card,0
108,2020-11-14,Expense,Subscriptions,4883.57932085205,Debit Card,0
109,2020-10-14,Income,Education,2635.661489,Credit Card,0
110,2020-11-17,Expense,Rent/Mortgage,127.31,Credit Card,1
111,2020-06-23,Income,Healthcare,2945.8839543,Other,0
112,2020-08-16,Income,Internet,4838.13764774,Other,0
113,2020-11-04,Income,Travel,505.47,Debit Card,0
114,2020-05-13,Income,Insurance,3810.9054,Credit Card,0
115,2020-04-11,Income,Phone,4534.4,Credit Card,1
116,2020-07-22,Income,Shopping,3036.7855,Cash,1
117,2020-11-05,Expense,Shopping,2187.6330335531,Debit Card,0
118,2020-07-03,Expense,Gifts/Donations,3742.8400307,Debit Card,0
119,2020-12-24,Expense,Subscriptions,3824.232542119,Debit Card,0
120,2020-08-05,Expense,Childcare,540.4840462,Bank Transfer,1
121,2020-05-02,Expense,Education,2890.189543498,Credit Card,0
122,2020-02-25,Income,Internet,2269.1,Cash,1
123,2020-12-16,Expense,Gifts/Donations,3914.84,Cash,1
124,2020-12-01,Income,Entertainment,2949.4345068,Other,0
125,2020-10-17,Expense,Internet,3067.44,Credit Card,1
126,2020-06-04,Income,Insurance,1848.8934905,Cash,0
127,2020-08-19,Expense,Gifts/Donations,4092.4568291279,Cash,1
128,2020-01-02,Expense,Subscriptions,242.7,Other,1
129,2020-07-08,Expense,Rent/Mortgage,1039.698733114,Other,1
130,2020-11-01,Income,Subscriptions,4271.94,Debit Card,1
131,2020-12-18,Expense,Shopping,1348.691826,Debit Card,1
132,2020-11-26,Income,Groceries,4627.6,Other,1
133,2020-08-01,Expense,Dining Out,3517.63841441,Other,1
134,2020-10-26,Income,Debt Repayment,4408.85492132921,Debit Card,1
135,2020-09-06,Income,Entertainment,4161.7045,Cash,1
136,2020-02-08,Income,Childcare,2873.705469,Cash,1
137,2020-01-11,Income,Dining Out,530.6,Other,1
138,2020-05-21,Income,Internet,4710.751,Bank Transfer,0
139,2020-07-07,Expense,Dining Out,10.377523043,Cash,1
140,2020-01-15,Expense,Phone,4644.1294162,Other,0
141,2020-03-31,Income,Debt Repayment,1399.4,Bank Transfer,1
142,2020-09-10,Income,Travel,2630.5638717549,Bank Transfer,1
143,2020-07-05,Income,Healthcare,2346.485673,Bank Transfer,1
144,2020-09-17,Expense,Internet,4987.463,Bank Transfer,0
145,2020-11-21,Income,Subscriptions,4929.551338066,Bank Transfer,1
146,2020-12-15,Income,Shopping,3424.8067443,Bank Transfer,1
147,2020-01-10,Expense,Insurance,2991.492378996,Bank Transfer,1
148,2020-09-29,Expense,Rent/Mortgage,4280.13638,Credit Card,1
149,2020-06-02,Income,Utilities,251.8798595907,Credit Card,0
150,2020-09-24,Income,Gifts/Donations,3911.326756,Other,1
151,2020-04-05,Income,Rent/Mortgage,4065.5233501431,Credit Card,1
152,2020-02-27,Income,Dining Out,4814.1026,Cash,1
153,2020-02-09,Expense,Travel,2445.403829,Credit Card,0
154,2020-01-27,Income,Entertainment,3890.450109,Debit Card,1
155,2020-01-13,Income,Rent/Mortgage,2155.47141825116,Credit Card,0
156,2020-10-20,Expense,Travel,4825.7989915316,Debit Card,1
157,2020-03-15,Income,Internet,3737.89,Cash,0
158,2020-09-05,Expense,Insurance,2536.667044,Bank Transfer,0
159,2020-02-21,Income,Entertainment,919.5076185,Bank Transfer,0
160,2020-01-23,Income,Gifts/Donations,3156.757583984,Bank Transfer,1
161,2020-07-07,Expense,Internet,999.77350919979,Cash,1
162,2020-02-22,Expense,Gifts/Donations,4351.620156,Cash,0
163,2020-10-02,Expense,Utilities,4554.4736222462,Other,1
164,2020-01-14,Income,Internet,4492.4,Credit Card,0
165,2020-01-17,Income,Subscriptions,2375.54,Credit Card,0
166,2020-10-13,Income,Childcare,3817.8,Cash,1
167,2020-10-21,Expense,Debt Repayment,991.824269,Bank Transfer,1
168,2020-09-22,Income,Utilities,4629.7,Debit Card,0
169,2020-07-18,Expense,Transportation,4912.7072971929,Other,0
170,2020-01-31,Expense,Childcare,1892.5491793149,Other,0
171,2020-09-10,Income,Groceries,3419.7334804,Credit Card,0
172,2020-04-27,Expense,Internet,1883.956028,Other,0
173,2020-05-24,Expense,Childcare,1275.3722354,Bank Transfer,0
174,2020-10-24,Income,Childcare,422.99,Cash,1
175,2020-05-08,Expense,Groceries,3218.573166279,Bank Transfer,1
176,2020-07-24,Income,Phone,2587.8133466,Cash,1
177,2020-05-20,Expense,Entertainment,2547.646296,Bank Transfer,1
178,2020-11-05,Income,Subscriptions,4521.609602318,Credit Card,0
179,2020-04-04,Expense,Phone,165.7377,Cash,0
180,2020-09-23,Expense,Shopping,2505.9019557,Cash,0
181,2020-12-06,Expense,Healthcare,2199.261032933,Credit Card,1
182,2020-06-19,Expense,Dining Out,1450.4973,Bank Transfer,0
183,2020-04-05,Expense,Debt Repayment,728.903389,Bank Transfer,1
184,2020-08-03,Income,Rent/Mortgage,3871.495191016,Credit Card,0
185,2020-03-28,Expense,Rent/Mortgage,4267.4098669918,Cash,1
186,2020-08-20,Expense,Insurance,813.7468358629,Credit Card,1
187,2020-01-01,Expense,Education,199.1097338,Credit Card,0
188,2020-11-24,Income,Dining Out,1175.8,Debit Card,0
189,2020-11-14,Income,Healthcare,2973.776600165,Credit Card,1
190,2020-11-05,Expense,Debt Repayment,2239.9444,Other,0
191,2020-01-29,Income,Entertainment,687.4,Bank Transfer,0
192,2020-04-24,Income,Gifts/Donations,1571.68300247784,Other,0
193,2020-10-07,Income,Utilities,4024.6498993,Credit Card,1
194,2020-01-21,Income,Childcare,3636.4341183,Other,0
195,2020-03-27,Expense,Internet,1007.870517316,Credit Card,0
196,2020-12-17,Expense,Insurance,4325.747760026,Credit Card,0
197,2020-01-15,Income,Shopping,4268.97658507,Bank Transfer,1
198,2020-04-08,Expense,Shopping,1746.86344659521,Debit Card,0
199,2020-09-03,Income,Education,946.94048972872,Credit Card,0
200,2020-10-12,Expense,Education,788.4696375,Bank Transfer,1
201,2020-01-04,Income,Entertainment,4343.13724529,Credit Card,0
202,2020-10-04,Income,Internet,2648.577253,Bank Transfer,1
203,2020-07-08,Income,Transportation,749.85394853564,Bank Transfer,1
204,2020-02-22,Expense,Entertainment,1079.8327474,Bank Transfer,0
205,2020-02-24,Expense,Healthcare,2052.87,Cash,0
206,2020-01-29,Income,Groceries,3458.9018306449,Credit Card,0
207,2020-03-30,Expense,Shopping,4652.58,Debit Card,1
208,2020-02-07,Expense,Education,4257.944,Credit Card,0
209,2020-12-10,Expense,Gifts/Donations,1308.583159,Credit Card,1
210,2020-01-15,Income,Entertainment,2949.1564285595,Other,0
211,2020-07-14,Expense,Phone,3857.59,Cash,0
212,2020-04-04,Expense,Dining Out,1491.111091,Other,1
213,2020-04-24,Expense,Phone,2976.18,Credit Card,0
214,2020-10-04,Expense,Healthcare,529.86,Bank Transfer,1
215,2020-07-03,Expense,Subscriptions,1683.7995,Cash,0
216,2020-10-15,Expense,Utilities,4988.459,Debit Card,1
217,2020-01-21,Expense,Utilities,2585.87427,Cash,1
218,2020-01-13,Expense,Groceries,2659.8234,Credit Card,1
219,2020-11-19,Income,Education,2210.5582623,Cash,1
220,2020-08-26,Expense,Healthcare,4212.8492,Debit Card,0
221,2020-10-27,Income,Healthcare,4481.79,Bank Transfer,1
222,2020-09-05,Income,Travel,4373.6609,Debit Card,0
223,2020-08-17,Income,Travel,4845.8028798634,Debit Card,1
224,2020-01-02,Expense,Subscriptions,1814.27392373,Other,1
225,2020-04-19,Expense,Education,613.71690429014,Debit Card,0
226,2020-11-13,Income,Healthcare,3572.92,Cash,0
227,2020-08-02,Expense,Subscriptions,2147.36247,Cash,1
228,2020-10-17,Expense,Education,3256.4884952986,Other,1
229,2020-06-04,Income,Travel,167.8188,Bank Transfer,1
230,2020-04-22,Expense,Debt Repayment,4151.5455010237,Bank Transfer,1
231,2020-11-06,Expense,Education,176.54503453451,Credit Card,1
232,2020-05-12,Expense,Phone,2799.6435,Other,1
233,2020-11-06,Expense,Debt Repayment,4441.5564093,Credit Card,0
234,2020-11-22,Income,Debt Repayment,2874.1442245,Other,1
235,2020-05-24,Income,Gifts/Donations,3292.758726,Credit Card,1
236,2020-12-25,Income,Dining Out,1215.961704,Bank Transfer,0
237,2020-11-04,Income,Gifts/Donations,1835.2,Cash,0
238,2020-12-23,Expense,Debt Repayment,3906.6410797,Cash,0
239,2020-10-17,Expense,Travel,2069.715721,Cash,1
240,2020-06-10,Expense,Dining Out,802.96609822,Credit Card,0
241,2020-01-07,Expense,Internet,694.63769381172,Debit Card,1
242,2020-03-18,Expense,Gifts/Donations,2546.0,Debit Card,0
243,2020-09-04,Income,Education,1559.74643,Debit Card,1
244,2020-11-30,Income,Internet,2589.1,Cash,1
245,2020-08-28,Income,Gifts/Donations,1428.14251,Credit Card,1
246,2020-05-29,Income,Phone,3027.8281,Credit Card,1
247,2020-10-09,Expense,Rent/Mortgage,2304.11239,Credit Card,1
248,2020-05-05,Expense,Subscriptions,248.774267,Credit Card,1
249,2020-03-03,Income,Travel,989.62663023,Credit Card,0
250,2020-03-04,Expense,Debt Repayment,356.184695,Cash,1
251,2020-01-16,Income,Subscriptions,2851.8,Bank Transfer,0
252,2020-09-25,Income,Travel,4617.4848471878,Debit Card,1
253,2020-07-17,Expense,Childcare,3568.45521951,Credit Card,1
254,2020-08-22,Expense,Travel,508.32552018709,Other,1
255,2020-10-26,Income,Debt Repayment,4485.494358,Other,1
256,2020-09-28,Income,Education,3695.1012,Cash,0
257,2020-06-16,Expense,Travel,2988.4413159,Credit Card,1
258,2020-04-05,Expense,Phone,1785.9,Bank Transfer,0
259,2020-01-01,Income,Transportation,1916.3699111,Other,1
260,2020-09-29,Income,Gifts/Donations,2711.75198088,Other,1
261,2020-02-25,Expense,Healthcare,766.3167251,Credit Card,1
262,2020-06-01,Income,Insurance,3711.2294706,Cash,1
263,2020-02-25,Expense,Shopping,1848.59331218059,Credit Card,0
264,2020-05-31,Expense,Childcare,260.35,Bank Transfer,0
265,2020-10-28,Income,Internet,2600.98931253741,Bank Transfer,1
266,2020-03-02,Income,Gifts/Donations,798.945919601,Credit Card,0
267,2020-07-24,Expense,Rent/Mortgage,4248.7489975,Cash,1
268,2020-06-21,Expense,Insurance,2366.93,Debit Card,1
269,2020-03-15,Expense,Rent/Mortgage,2721.67,Bank Transfer,0
270,2020-12-14,Expense,Debt Repayment,1837.3830199,Credit Card,1
271,2020-06-01,Expense,Phone,2310.5,Credit Card,1
272,2020-01-15,Expense,Insurance,1544.154906998,Credit Card,1
273,2020-03-04,Expense,Transportation,2174.9347583,Other,1
274,2020-04-29,Income,Entertainment,3178.201108494,Credit Card,1
275,2020-12-01,Expense,Transportation,4416.174238,Other,1
276,2020-05-28,Income,Insurance,4506.2934899,Cash,1
277,2020-03-14,Income,Internet,4838.33,Bank Transfer,1
278,2020-02-13,Income,Dining Out,861.43840157,Other,0
279,2020-06-16,Expense,Insurance,4843.1758,Credit Card,0
280,2020-08-01,Income,Phone,850.552,Cash,0
281,2020-03-01,Expense,Dining Out,3583.7027,Debit Card,1
282,2020-02-25,Income,Internet,3664.89530211361,Other,0
283,2020-05-30,Expense,Rent/Mortgage,19.2301957,Other,0
284,2020-06-15,Income,Shopping,1769.29944,Credit Card,0
285,2020-02-08,Expense,Childcare,2408.799943526,Other,1
286,2020-08-08,Expense,Education,3682.745009,Debit Card,0
287,2020-07-16,Expense,Phone,4031.892,Bank Transfer,0
288,2020-11-28,Income,Utilities,1926.3223601715,Credit Card,1
289,2020-07-09,Income,Shopping,1548.8509,Other,0
290,2020-11-08,Income,Subscriptions,2708.89754326,Debit Card,0
291,2020-10-06,Expense,Subscriptions,475.5102,Credit Card,1
292,2020-01-25,Income,Groceries,3362.721,Bank Transfer,0
293,2020-09-22,Income,Insurance,1822.838652,Cash,1
294,2020-05-11,Income,Utilities,4654.4486,Debit Card,1
295,2020-06-28,Expense,Groceries,4551.49,Debit Card,0
296,2020-07-02,Income,Subscriptions,4292.9,Other,0
297,2020-07-12,Expense,Shopping,2289.343,Cash,1
298,2020-11-12,Expense,Internet,1958.2725667,Bank Transfer,1
299,2020-02-09,Expense,Groceries,1911.145413201,Other,1
300,2020-08-13,Expense,Childcare,4803.1983712,Credit Card,1
301,2020-06-13,Expense,Groceries,4261.61497961,Bank Transfer,0
302,2020-12-24,Expense,Shopping,2095.911,Cash,0
303,2020-03-18,Income,Education,4301.4299643,Debit Card,0
304,2020-12-12,Expense,Groceries,4242.3,Credit Card,1
305,2020-10-31,Expense,Utilities,1575.9233853273,Bank Transfer,0
306,2020-08-24,Income,Dining Out,4538.58721,Cash,1
307,2020-01-03,Income,Shopping,3838.4,Other,0
308,2020-06-08,Income,Healthcare,2230.0,Bank Transfer,0
309,2020-06-14,Income,Groceries,651.76,Bank Transfer,0
310,2020-02-24,Income,Dining Out,4967.307,Cash,1
311,2020-06-03,Income,Debt Repayment,2811.78489537249,Cash,1
312,2020-01-17,Income,Rent/Mortgage,2488.402648,Bank Transfer,1
313,2020-10-12,Income,Dining Out,3196.66098,Bank Transfer,1
314,2020-02-24,Income,Rent/Mortgage,61.60518187,Debit Card,1
315,2020-07-16,Expense,Subscriptions,4244.6749794,Debit Card,1
316,2020-04-03,Expense,Phone,4998.1329,Other,0
317,2020-01-13,Income,Phone,2780.5,Other,0
318,2020-08-24,Income,Groceries,2443.19,Other,1
319,2020-12-12,Income,Phone,1480.5,Cash,0
320,2020-02-17,Expense,Transportation,4749.8,Other,0
321,2020-03-21,Expense,Gifts/Donations,2943.4745,Cash,0
322,2020-06-17,Expense,Rent/Mortgage,2112.19,Debit Card,1
323,2020-03-31,Expense,Rent/Mortgage,239.5,Credit Card,0
324,2020-11-06,Expense,Shopping,2307.285,Credit Card,0
325,2020-03-12,Expense,Travel,670.2844493705,Cash,0
326,2020-09-06,Income,Phone,4916.12842,Credit Card,1
327,2020-03-18,Expense,Travel,4025.679,Other,1
328,2020-06-19,Income,Childcare,2936.0,Bank Transfer,0
329,2020-08-06,Expense,Transportation,2601.39608,Debit Card,1
330,2020-10-12,Expense,Shopping,343.6793272,Credit Card,1
331,2020-05-14,Income,Childcare,1101.2365147492,Credit Card,0
332,2020-11-19,Income,Dining Out,1094.2594445268,Bank Transfer,0
333,2020-05-16,Income,Shopping,3863.50817,Other,1
334,2020-08-23,Expense,Utilities,616.97,Other,0
335,2020-10-20,Income,Shopping,2037.4951637,Cash,1
336,2020-03-26,Income,Debt Repayment,3252.164434981,Debit Card,1
337,2020-06-11,Income,Shopping,4507.21127,Credit Card,0
338,2020-08-03,Expense,Dining Out,1788.78703318327,Credit Card,0
339,2020-11-26,Income,Utilities,2662.3765202,Credit Card,1
340,2020-11-06,Expense,Entertainment,2416.943029313,Other,0
341,2020-03-12,Income,Travel,2850.3,Debit Card,0
342,2020-05-17,Income,Utilities,19.996189,Credit Card,1
343,2020-04-22,Expense,Childcare,701.48315,Credit Card,1
344,2020-08-05,Expense,Phone,1907.715,Debit Card,0
345,2020-06-07,Income,Internet,4284.696,Debit Card,0
346,2020-05-19,Income,Education,4254.9688,Bank Transfer,1
347,2020-10-16,Income,Groceries,270.4502503295,Other,1
348,2020-08-17,Expense,Debt Repayment,1764.24499669,Cash,1
349,2020-04-14,Income,Subscriptions,3882.45935986078,Other,0
350,2020-12-08,Expense,Insurance,4144.75613463,Cash,0
351,2020-11-13,Income,Phone,2946.97552824786,Credit Card,1
352,2020-02-05,Expense,Phone,3920.2485,Debit Card,1
353,2020-11-22,Expense,Debt Repayment,4567.37500296,Cash,1
354,2020-02-08,Expense,Education,4055.429469,Other,1
355,2020-04-19,Expense,Insurance,3532.3504945,Bank Transfer,1
356,2020-01-21,Income,Groceries,4979.94340323,Other,0
357,2020-06-08,Income,Shopping,3859.24,Bank Transfer,1
358,2020-06-25,Expense,Shopping,1937.73845408,Debit Card,0
359,2020-07-08,Income,Shopping,2266.8,Debit Card,1
360,2020-08-10,Income,Education,4506.2838438,Credit Card,1
361,2020-12-19,Expense,Rent/Mortgage,3006.4,Debit Card,0
362,2020-03-05,Income,Childcare,470.78859043313,Cash,0
363,2020-04-16,Income,Childcare,3773.48823114881,Credit Card,1
364,2020-11-14,Income,Travel,3574.83743558528,Cash,1
365,2020-02-10,Income,Internet,2138.793,Debit Card,0
366,2020-02-19,Income,Rent/Mortgage,71.5,Other,1
367,2020-05-02,Expense,Education,3249.888174,Debit Card,1
368,2020-01-18,Expense,Travel,2328.81215,Cash,1
369,2020-08-17,Expense,Travel,355.49,Bank Transfer,1
370,2020-10-28,Expense,Phone,4129.81554,Bank Transfer,1
371,2020-06-10,Expense,Debt Repayment,1952.24,Bank Transfer,1
372,2020-02-21,Expense,Utilities,342.8814882,Other,1
373,2020-10-04,Expense,Groceries,3618.561,Cash,0
374,2020-02-28,Income,Groceries,2746.7059068,Cash,0
375,2020-11-25,Expense,Debt Repayment,614.0,Credit Card,0
376,2020-12-25,Income,Rent/Mortgage,2604.24058790479,Other,1
377,2020-11-30,Expense,Rent/Mortgage,1162.3713005183,Cash,0
378,2020-02-19,Income,Rent/Mortgage,2383.2,Debit Card,1
379,2020-01-26,Expense,Groceries,3958.85398,Other,1
380,2020-09-16,Expense,Debt Repayment,997.2,Other,0
381,2020-09-03,Expense,Insurance,3348.2111,Cash,0
382,2020-11-13,Income,Education,796.512951,Debit Card,0
383,2020-04-06,Expense,Subscriptions,4689.221072292,Bank Transfer,1
384,2020-06-30,Income,Education,2556.6364568152,Cash,1
385,2020-10-08,Expense,Phone,1455.87453512,Other,1
386,2020-10-10,Income,Shopping,3178.280675,Credit Card,1
387,2020-08-24,Income,Internet,2411.269565913,Cash,0
388,2020-02-03,Expense,Internet,1294.35,Cash,0
389,2020-05-04,Income,Groceries,936.15892,Other,1
390,2020-12-18,Income,Utilities,4924.846230003,Credit Card,1
391,2020-01-29,Expense,Subscriptions,4217.853843,Cash,0
392,2020-12-26,Income,Gifts/Donations,283.48194259,Other,1
393,2020-08-12,Income,Gifts/Donations,3166.5346,Credit Card,0
394,2020-05-10,Income,Shopping,4285.17116961835,Other,0
395,2020-11-17,Expense,Shopping,1731.4,Other,1
396,2020-03-07,Income,Childcare,4112.31,Credit Card,0
397,2020-12-07,Expense,Gifts/Donations,4541.499488,Cash,1
398,2020-02-14,Expense,Healthcare,4434.7749905,Cash,0
399,2020-06-27,Income,Dining Out,172.8136,Credit Card,0
400,2020-05-07,Expense,Healthcare,1958.9,Credit Card,1
401,2020-09-18,Income,Debt Repayment,2509.147778478,Credit Card,0
402,2020-05-01,Income,Groceries,4101.987,Debit Card,0
403,2020-12-16,Expense,Transportation,2301.8406,Credit Card,0
404,2020-01-15,Income,Internet,4227.6827183658,Other,0
405,2020-07-01,Income,Utilities,2342.90815014778,Debit Card,1
406,2020-11-17,Expense,Healthcare,1378.8055,Debit Card,0
407,2020-09-18,Income,Transportation,536.378986,Cash,0
408,2020-08-16,Expense,Dining Out,3380.7966516,Bank Transfer,1
409,2020-03-26,Income,Transportation,1688.97883312,Credit Card,1
410,2020-04-25,Expense,Shopping,64.353579351,Other,1
411,2020-03-20,Expense,Transportation,3306.356109753,Bank Transfer,0
412,2020-01-22,Income,Groceries,3831.54309,Debit Card,1
413,2020-10-16,Income,Education,4966.4,Debit Card,0
414,2020-11-18,Income,Rent/Mortgage,781.283146,Bank Transfer,1
415,2020-10-31,Income,Internet,1360.46029965839,Cash,1
416,2020-06-17,Income,Internet,4308.8732614,Cash,0
417,2020-02-01,Expense,Healthcare,2590.21639117,Credit Card,1
418,2020-12-08,Income,Shopping,2116.37,Cash,0
419,2020-12-08,Expense,Dining Out,2551.764869,Cash,0
420,2020-08-17,Expense,Shopping,4515.71893236437,Debit Card,0
421,2020-01-14,Expense,Insurance,4035.292,Credit Card,1
422,2020-02-26,Income,Healthcare,3554.25,Cash,1
423,2020-05-31,Expense,Insurance,2886.448443,Credit Card,0
424,2020-07-07,Income,Rent/Mortgage,149.818919,Cash,0
425,2020-09-13,Expense,Insurance,1891.987248318,Cash,1
426,2020-05-03,Income,Shopping,1898.5317035,Credit Card,0
427,2020-09-01,Income,Dining Out,4311.31,Debit Card,0
428,2020-11-02,Expense,Phone,2018.9,Bank Transfer,0
429,2020-03-25,Expense,Healthcare,840.4374,Cash,0
430,2020-04-28,Income,Healthcare,4273.5659779807,Cash,0
431,2020-06-22,Expense,Childcare,964.165,Other,0
432,2020-08-23,Income,Travel,1032.8,Other,1
433,2020-12-06,Income,Transportation,238.15861,Bank Transfer,0
434,2020-11-26,Expense,Transportation,968.5,Credit Card,1
435,2020-04-21,Expense,Groceries,4884.5,Cash,0
436,2020-07-17,Expense,Travel,1638.295,Other,1
437,2020-06-22,Income,Transportation,1871.3978996,Debit Card,1
438,2020-08-05,Expense,Healthcare,2780.0,Bank Transfer,1
439,2020-11-22,Expense,Education,4460.94,Bank Transfer,0
440,2020-01-08,Income,Phone,1156.5,Bank Transfer,0
